LOCATION,LAT,LONG,POPULATION
ARGENTINA/SANTA FE/ROSARIO/PUEBLO ESTHER,-33.0750849907001,-60.5733326754531,
ARGENTINA/SANTA FE/ROSARIO/PUEBLO MUNOZ,-33.172026192672895,-60.8980925004955,
ARGENTINA/SANTA FE/ROSARIO/ROSARIO,-32.9581776022748,-60.666264034822795,
ARGENTINA/SANTA FE/ROSARIO/SOLDINI,-33.022264791413996,-60.7554621490602,
ARGENTINA/SANTA FE/ROSARIO/VILLA AMELIA,-33.1759073477375,-60.6666824213251,
ARGENTINA/SANTA FE/ROSARIO/VILLA GOBERNADOR GALVEZ,-33.0238200775839,-60.640608128941295,
ARGENTINA/SANTA FE/ROSARIO/ZAVALLA,-33.0216719712661,-60.879880974513505,
ARGENTINA/SANTA FE/SAN CRISTOBAL/AGUARA GRANDE,-30.116015105324998,-60.8908701857435,
ARGENTINA/SANTA FE/SAN CRISTOBAL/AMBROSETTI,-30.012953573910604,-61.5755177209725,
ARGENTINA/SANTA FE/SAN CRISTOBAL/ARRUFO,-30.232394100338002,-61.7279564079603,
ARGENTINA/SANTA FE/SAN CRISTOBAL/CAPIVARA,-30.4602272303054,-61.2712066957846,
ARGENTINA/SANTA FE/SAN CRISTOBAL/CERES,-29.883302051070103,-61.945823332652296,
ARGENTINA/SANTA FE/SAN CRISTOBAL/COLONIA ANA,-30.143701541529,-61.9136593990452,
ARGENTINA/SANTA FE/SAN CRISTOBAL/COLONIA BOSSI,-30.6683529777246,-61.78846602876679,
ARGENTINA/SANTA FE/SAN CRISTOBAL/COLONIA ROSA,-30.300682593083202,-61.9826463170366,
ARGENTINA/SANTA FE/SAN CRISTOBAL/CONSTANZA,-30.662036168297895,-61.3206383449662,
ARGENTINA/SANTA FE/SAN CRISTOBAL/HERSILIA,-30.0038704549013,-61.8388784954766,
ARGENTINA/SANTA FE/SAN CRISTOBAL/HUANQUEROS,-30.011910778991798,-61.2186079773183,
ARGENTINA/SANTA FE/SAN CRISTOBAL/LA CABRAL,-30.086786065795998,-61.17840898118361,
ARGENTINA/SANTA FE/SAN CRISTOBAL/LA LUCILA,-30.419774697347897,-61.00318329272329,
ARGENTINA/SANTA FE/SAN CRISTOBAL/LA RUBIA,-30.110115365529598,-61.7934871833392,
